Date;Year;Month;Day;AT;BG;CH;CZ;DE;ES;FR;HU;IT;ME;NO;PL;PT;RO;RS;SE;SK
01/01/2015;2015;1;1;0.080154581;0.429597701;0;0.208891667;0.02273784;0.120310295;0.273674012;0.555744048;0;0;0.398723043;0;0.406902855;0;0;0.17;0.03625
02/01/2015;2015;1;2;0.068257448;0.468497233;0;0.215407051;0.023831522;0.215474423;0.403361131;0.4828125;0;0;0.448051282;0.034375;0.479140552;0;0;0.486037865;0.043044485
03/01/2015;2015;1;3;0.118153457;0.493215198;0;0.227786538;0.026985754;0.140333755;0.181920096;0.399761905;0;0;0.504127694;0.034356303;0.374825905;0;0;0.439286183;0.033356481
04/01/2015;2015;1;4;0.057408657;0.405944019;0;0.148017949;0.023274662;0.124262294;0.152676325;0.38296131;0;0;0.558817416;0.034476496;0.322730966;0;0;0.314540925;0.025843398
05/01/2015;2015;1;5;0.154394323;0.455034057;0;0.258488462;0.014961915;0.184025678;0.344305454;0.482950149;0;0.398257797;0.762607488;0.057478632;0.428418059;0.016507237;0;0.580069148;0.051841787
06/01/2015;2015;1;6;0.114062676;0.463415283;0;0.199675641;0.024613252;0.141951211;0.391065052;0.461741071;0;0.312908138;0.726592593;0.046028312;0.344275186;0.1805625;0;0.500075729;0.053136071
07/01/2015;2015;1;7;0.236627319;0.545737548;0;0.302987821;0.026250755;0.265725518;0.389705584;0.435907738;0;0.522202729;0.723434039;0.05732906;0.425324977;0.257964035;0;0.539572366;0.061002415
08/01/2015;2015;1;8;0.227114952;0.710861005;0;0.21800641;0.032199646;0.212177654;0.30045248;0.413374256;0;0.622104045;0.655096525;0.045726496;0.364966342;0.479968531;0;0.476252402;0.065884662
09/01/2015;2015;1;9;0.154690838;0.662994891;0;0.043215385;0.019443621;0.17987207;0.32279746;0.400186012;0;0.390867446;0.656269804;0.034222756;0.271512303;0.28620614;0;0.489625115;0.033463164
10/01/2015;2015;1;10;0.032143058;0.475893997;0;0.463964103;0.018718709;0.131483569;0.118030192;0.380751488;0;0.245439815;0.614678481;0.034537927;0.241037024;0.244507675;0;0.332330576;0.032553341
11/01/2015;2015;1;11;0.043891231;0.362813963;0;0.343587821;0.028430569;0.099026777;0.156668493;0.403069196;0;0.205955166;0.584336554;0.103469551;0.241283658;0.142404605;0;0.340444034;0.02296095
12/01/2015;2015;1;12;0.161374368;0.476905066;0;0.470026282;0.042339152;0.156906948;0.372179612;0.433504464;0;0.390455653;0.670683761;0.275894765;0.296262767;0.30726875;0;0.531667816;0.06485004
13/01/2015;2015;1;13;0.162540753;0.413527033;0;0.471658974;0.037476051;0.141460934;0.360923423;0.494334077;0;0.351147661;0.655856218;0.264308226;0.291298166;0.266308004;0;0.523679703;0.050422705
14/01/2015;2015;1;14;0.202785273;0.400250106;0;0.434833333;0.03678044;0.172194883;0.339790804;0.580956101;0;0.39994152;0.697046064;0.136714744;0.224640204;0.340126096;0;0.517765;0.043573873
15/01/2015;2015;1;15;0.158687465;0.389314602;0;0.437812821;0.037354249;0.105817342;0.398116021;0.652228423;0;0.201995614;0.648138548;0.079722222;0.209081941;0.350637061;0;0.481663115;0.04760467
