Date;Year;Month;Day;AL;AT;BE;BG;CH;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IS;IT;LT;LV;ME;MK;NL;NO;PL;PT;RO;RS;SE;SI;SK;TR;UK
01/01/2015;2015;1;1;0;0.281315022;0.342815217;0;0.190301403;0.198581439;0.281874788;0;0.409895833;0.60592893;0.245747677;0.381516224;0;0;0.458283046;0.720327932;0;0;0;0;0;0;0;0.513441074;0.019056437;0.234460669;0.248511333;0.243637956;0.284312963;0.33779598;0.271760876;0;0
02/01/2015;2015;1;2;0;0.277933881;0.353778986;0;0.2043982;0.205988636;0.278474403;0;0.2078125;0.649985516;0.27077525;0.402345517;0;0;0.366106322;0.732098765;0;0;0;0;0;0;0;0.525547594;0.467926587;0.35775428;0.272870093;0.121818978;0.279872647;0.349569484;0.263540454;0;0
03/01/2015;2015;1;3;0;0.3273453;0.355681159;0;0.201817859;0.107572917;0.324177343;0;0.375;0.600738702;0.29222618;0.392480286;0;0;0.351145833;0.737743056;0;0;0;0;0;0;0;0.5423091;0.490961199;0.303804409;0.226395143;0.060909489;0.283061834;0.304717474;0.29459026;0;0
04/01/2015;2015;1;4;0;0.459825456;0.303666667;0;0.191044768;0.227570076;0.438982176;0;0.375;0.588089031;0.325388072;0.440247075;0;0;0.358668582;0.738598573;0;0;0.115234375;0;0;0;0;0.518028591;0.537083333;0.267112845;0.323302244;0.030454745;0.262211855;0.340557138;0.339543849;0;0
05/01/2015;2015;1;5;0;0.479898821;0.315333333;0;0.095522384;0.212086174;0.396561493;0;0.401041667;0.625458671;0.489382787;0.545217665;0;0;0.402999282;0.721459298;0;0;0.339192708;0;0;0;0;0.510476813;0.559732143;0.38321025;0.204278953;0.015227372;0.142156481;0.343254986;0.450705874;0;0.465345821
06/01/2015;2015;1;6;0;0.473616874;0.327695652;0;0.102384941;0.213026515;0.37296724;0;0.6375;0.593134415;0.435778569;0.549039332;0;0;0.402133621;0.712053434;0;0;0.353515625;0;0;0;0;0.517361576;0.537260802;0.345317221;0.373734395;0.007613686;0.139936323;0.351650839;0.454337074;0;0.500240154
07/01/2015;2015;1;7;0;0.442931776;0.353474638;0;0.10100185;0.203611742;0.365870237;0;0.6390625;0.605011587;0.447364558;0.535558464;0;0;0.370427443;0.716284722;0;0;0.372721354;0;0;0;0;0.520770049;0.47775463;0.4758476;0.429877029;0.003806843;0.141530917;0.36235201;0.438201372;0;0.438052354
08/01/2015;2015;1;8;0;0.406751007;0.330177536;0;0.095568844;0.206958333;0.367576456;0;0.6375;0.55112978;0.384018842;0.495055265;0;0;0.343390805;0.719959491;0;0;0.46484375;0;0;0;0;0.538025105;0.423293651;0.43116538;0.446500156;0.001903422;0.131105927;0.343323441;0.421810405;0;0.481376081
09/01/2015;2015;1;9;0;0.428685579;0.251474638;0;0.047784422;0.096998106;0.379525395;0;0.6375;0.558347818;0.470453814;0.486446416;0;0;0.327489224;0.730784144;0;0;0.302083333;0;0;0;0;0.537568515;0.47251433;0.359185129;0.363901373;0.000951711;0.100537045;0.347789649;0.379432668;0;0.50907781
10/01/2015;2015;1;10;0;0.524762463;0.256144928;0;0.051204086;0.084846591;0.460964548;0;0.6375;0.516367323;0.389348448;0.425711816;0;0;0.329051724;0.731937693;0;0;0.303710938;0;0;0;0;0.529224895;0.524917328;0.272851628;0.370276217;0.000475855;0.085651251;0.348207898;0.506531241;0;0.459005764
11/01/2015;2015;1;11;0;0.515599254;0.254061594;0;0.050506733;0.193960227;0.446376261;0;0.6375;0.497489378;0.426517438;0.413996348;0;0;0.34143319;0.6775299;0;0;0.3046875;0;0;0;0;0.514648884;0.583643078;0.188641323;0.411946005;0.000237928;0.075602108;0.366037908;0.774463148;0;0.482949087
12/01/2015;2015;1;12;0;0.550647213;0.283916667;0;0.047787326;0.181525568;0.410178715;0;0.639583333;0.531020664;0.554439594;0.4903206;0;0;0.392280891;0.705210262;0;0;0.466145833;0;0;0;0;0.522776674;0.643255071;0.315533736;0.537973002;0.000118964;0.055570614;0.437361507;0.772291147;0;0.487836215
13/01/2015;2015;1;13;0;0.555714415;0.318155797;0;0.023893663;0.184743371;0.298477989;0;0.602604167;0.540894168;0.477309283;0.507106037;0;0;0.45919181;0.695042438;0;0;0.440429688;0;0;0;0;0.511875523;0.662035935;0.2525428;0.641084426;5.95E-05;0.045277347;0.403434631;0.623257135;0;0.499459654
14/01/2015;2015;1;14;0;0.540990138;0.331362319;0;0.025602769;0.192945076;0.186777262;0;0.4875;0.572445925;0.451647263;0.507651412;0;0;0.561199713;0.700796682;0;0;0.436197917;0;0;0;0;0.520534693;0.698612213;0.307063332;0.6294304;2.97E-05;0.040330038;0.371632241;0.576868246;0;0.486899616
15/01/2015;2015;1;15;0;0.51184076;0.328782609;0;0.025253729;0.18909375;0.405032638;0;0.4875;0.585940518;0.452773055;0.518312488;0;0;0.600434626;0.746466049;0;0;0.461263021;0;0;0;0;0.521766911;0.783585758;0.23708739;0.603912297;1.49E-05;0.03655326;0.368531972;0.479722915;0;0.432696926
16/01/2015;2015;1;16;0;0.492276294;0.291047101;0;0.023893844;0.183724432;0.393009627;0;0.4875;0.66070394;0.455923075;0.547031543;0;0;0.597600575;0.750329861;0;0;0.608072917;0;0;0;0;0.515465132;0.728777557;0.214277722;0.589293071;7.44E-06;0.02716141;0.370297958;0.48607509;0;0.419512488
17/01/2015;2015;1;17;0;0.483422034;0.298456522;0;0.011946922;0.08332197;0.406467341;0;0.483854167;0.630624759;0.346676624;0.535239319;0;0;0.577043822;0.745680941;0;0;0.409830729;0;0;0;0;0.520066074;0.721804453;0.198290813;0.543281211;3.72E-06;0.022326725;0.511458135;0.498933222;0;0.41784342
18/01/2015;2015;1;18;0;0.470147784;0.306746377;0;0.01280143;0.190986742;0.399307843;0;0.482291667;0.624637891;0.362909518;0.511594273;0;0;0.563067529;0.741724537;0;0;0.388346354;0;0;0;0;0.524195084;0.710435406;0.220187143;0.515237984;1.86E-06;0.020009045;0.600387385;0.532683915;0;0.368299712
19/01/2015;2015;1;19;0;0.457638764;0.337282609;0;0.012626887;0.186566288;0.397561303;0;0.463541667;0.602138857;0.490446666;0.561457727;0;0;0.578523707;0.738856096;0;0;0.621744792;0;0;0;0;0.53155265;0.716878307;0.249937059;0.487524969;9.29E-07;0.018198643;0.527905983;0.018403297;0;0.353950528
20/01/2015;2015;1;20;0;0.459245144;0.352235507;0;0.011946934;0.196541667;0.416956066;0;0.476041667;0.68426516;0.512555019;0.573108558;0;0;0.59378592;0.699722222;0;0;0.703125;0;0;0;0;0.522208682;0.664465388;0.356715061;0.551190699;4.65E-07;0.013541712;0.488518519;0;0;0.310710855
